_RAJ2000;_DEJ2000;Name;GLON;GLAT;z;Mbh;e_Mbh;Dist;SimbadName;NED;_RA.icrs;_DE.icrs
208.0330127;+16.9697689;NGC 5332               ;000.15950;+72.67817; 0.02242; 375.408; 187.704; 92.1;NGC 5332               ;NED;208.03301;+16.96977
226.3644375;+01.6347203;NGC 5839               ;000.20005;+49.00894; 0.00409;  40.683;  20.341; 16.8;NGC 5839               ;NED;226.36444;+01.63472
253.3695791;-20.6229022;2MASX J16532872-2037225;000.20472;+14.44408; 0.01895; 145.146;  72.573; 77.8;2MASX J16532872-2037225;NED;253.36958;-20.62290
304.8841102;-40.7262057;ESO 340- G 016         ;000.22821;-33.39667; 0.01800; 225.543; 112.771; 73.9;ESO 340- G 016         ;NED;304.88411;-40.72621
301.5649464;-40.1983352;NGC 6849               ;000.32884;-30.81834; 0.02015; 448.961; 224.480; 82.7;NGC 6849               ;NED;301.56495;-40.19834
226.5031913;+01.6338006;NGC 5845               ;000.33882;+48.90437; 0.00484;  50.260;  25.130; 19.9;NGC 5845               ;NED;226.50319;+01.63380
226.6219671;+01.6056182;NGC 5846               ;000.42592;+48.79664; 0.00572; 537.252; 268.626; 23.5;NGC 5846               ;NED;226.62197;+01.60562
292.2991577;-38.3014929;ESO 338- G 009         ;000.44519;-23.40119; 0.01858; 116.450;  58.225; 76.3;ESO 338- G 009         ;NED;292.29916;-38.30149
226.7819769;+01.5442398;NGC 5850               ;000.51605;+48.63597; 0.00853; 268.459; 134.230; 35.0;NGC 5850               ;NED;226.78198;+01.54424
226.3593578;+02.0993281;NGC 5838               ;000.72873;+49.31939; 0.00453; 122.845;  61.423; 18.6;NGC 5838               ;NED;226.35936;+02.09933
294.1367388;-38.3561601;ESO 338-IG 013         ;000.83486;-24.79918; 0.02010; 142.021;  71.010; 82.6;ESO 338-IG 013         ;NED;294.13674;-38.35616
213.1332571;+13.3044472;NGC 5505               ;000.84209;+66.54573; 0.01423;  64.212;  32.106; 58.4;NGC 5505               ;NED;213.13326;+13.30445
226.6459287;+02.0048182;NGC 5841               ;000.90731;+49.04132; 0.00415;   6.859;   3.430; 17.0;NGC 5841               ;NED;226.64593;+02.00482
303.8493703;-39.9972241;ESO 340- G 006         ;000.93302;-32.50044; 0.02189; 173.700;  86.850; 89.9;ESO 340- G 006         ;NED;303.84937;-39.99722
323.6393428;-40.8186894;NGC 7087               ;001.05564;-47.55953; 0.01697; 250.639; 125.320; 69.7;NGC 7087               ;NED;323.63934;-40.81869
321.5009689;-40.8348279;IC 5105B               ;001.12441;-45.94209; 0.00745;  29.668;  14.834; 30.6;IC 5105B               ;NED;321.50097;-40.83483
320.5386297;-40.8386319;AM 2118-410 NED01      ;001.14068;-45.21409; 0.01756;  94.653;  47.327; 72.1;                       ;NED;320.53863;-40.83863
232.6921398;-02.8294996;NGC 5937               ;001.32686;+41.30719; 0.00936; 136.213;  68.106; 38.5;NGC 5937               ;NED;232.69214;-02.82950
321.0915907;-40.5377753;IC 5105                ;001.55985;-45.63809; 0.01804; 871.903; 435.951; 74.1;IC 5105                ;NED;321.09159;-40.53778
299.1550682;-38.6136678;ESO 339- G 009         ;001.66304;-28.66525; 0.01808; 231.066; 115.533; 74.2;ESO 339- G 009         ;NED;299.15507;-38.61367
322.5913014;-40.4383575;ESO 343- G 001         ;001.66358;-46.78074; 0.01628;  97.766;  48.883; 66.8;ESO 343- G 001         ;NED;322.59130;-40.43836
294.1903289;-37.5543840;NGC 6805               ;001.69565;-24.61715; 0.01991; 410.829; 205.414; 81.8;NGC 6805               ;NED;294.19033;-37.55438
296.8497865;-38.1225012;MCG -06-43-008         ;001.70989;-26.79279; 0.01931; 217.915; 108.957; 79.3;MCG -06-43-008         ;NED;296.84979;-38.12250
279.8181827;-33.1414007;ESO 395- G 015         ;001.71023;-12.10782; 0.02041; 222.888; 111.444; 83.8;ESO 395- G 015         ;NED;279.81818;-33.14140
300.2317007;-38.6966688;2MASX J20005562-3841481;001.78523;-29.50332; 0.02100; 182.975;  91.487; 86.3;2MASX J20005562-3841481;NED;300.23170;-38.69667
199.9646483;+22.9999344;NGC 5092               ;001.80112;+82.35623; 0.02321; 368.384; 184.192; 95.3;NGC 5092               ;NED;199.96465;+22.99993
226.9487351;+02.5685808;NGC 5854               ;001.86194;+49.17868; 0.00579;  64.349;  32.175; 23.8;NGC 5854               ;NED;226.94873;+02.56858
300.2096975;-38.5750855;IC 4931                ;001.91720;-29.45996; 0.02004; 887.121; 443.561; 82.3;IC 4931                ;NED;300.20970;-38.57509
300.0422761;-38.5153880;ESO 339- G 017         ;001.95091;-29.31908; 0.01758; 208.772; 104.386; 72.2;ESO 339- G 017         ;NED;300.04228;-38.51539
244.3156604;-11.7319114;MCG -02-41-001         ;001.98567;+26.76048; 0.00325;   7.367;   3.683; 13.4;MCG -02-41-001         ;NED;244.31566;-11.73191
299.1432819;-38.1004113;ESO 339- G 008         ;002.22942;-28.53779; 0.01892; 177.929;  88.964; 77.7;ESO 339- G 008         ;NED;299.14328;-38.10041
299.4062890;-37.9356951;ESO 339- G 011         ;002.46685;-28.70096; 0.01920; 241.429; 120.715; 78.8;ESO 339- G 011         ;NED;299.40629;-37.93569
321.5888042;-39.8878793;ESO 342- G 048         ;002.48522;-46.02645; 0.01933; 144.170;  72.085; 79.4;ESO 342- G 048         ;NED;321.58880;-39.88788
294.6592838;-36.8970196;ESO 398- G 016         ;002.50555;-24.79091; 0.02127; 186.864;  93.432; 87.4;ESO 398- G 016         ;NED;294.65928;-36.89702
301.0608730;-38.1671391;ESO 339- G 031         ;002.54294;-30.02259; 0.01826; 182.529;  91.264; 75.0;ESO 339- G 031         ;NED;301.06087;-38.16714
320.0315952;-39.7686542;ESO 342- G 035         ;002.65612;-44.83065; 0.01253;  81.290;  40.645; 51.5;ESO 342- G 035         ;NED;320.03160;-39.76865
307.4622444;-38.9788366;ESO 340- G 036         ;002.67827;-35.09027; 0.02172; 161.729;  80.864; 89.2;ESO 340- G 036         ;NED;307.46224;-38.97884
227.3897747;+03.0527460;NGC 5864               ;002.86212;+49.15126; 0.00629;  83.409;  41.704; 25.8;NGC 5864               ;NED;227.38977;+03.05275
303.5648262;-38.1663909;ESO 340- G 003         ;003.01338;-31.94943; 0.01967; 242.585; 121.292; 80.8;ESO 340- G 003         ;NED;303.56483;-38.16639
299.1983650;-37.3283887;IC 4913                ;003.09446;-28.39763; 0.01208; 111.759;  55.879; 49.6;IC 4913                ;NED;299.19836;-37.32839
