_RAJ2000;_DEJ2000;FFF98;xpos;ypos;MType;n;F814W;Vzmag;F606W-F814W;(B-V)z;rc;M;_RA;_DE
209.9230536;+62.4473286;  86; -60.9;-252.6;E   ;1;20.78;21.68; 1.179; 0.837; 0.32;M;209.92305;+62.44733
210.0420278;+62.4516147;  92; 137.2;-237.1;S0  ;2;19.84;20.75; 1.201; 0.855; 0.60;M;210.04203;+62.45161
209.9977639;+62.4521058;  95;  63.5;-235.4;E   ;3;19.32;20.25; 1.249; 0.894; 0.52;M;209.99776;+62.45211
209.9210650;+62.4525503;  97; -64.2;-233.8;S   ;2;19.67;20.57; 1.162; 0.823; 2.95;M;209.92106;+62.45255
210.0379547;+62.4557836; 105; 130.4;-222.1;E/S0;4;20.52;21.42; 1.214; 0.866; 0.32;M;210.03795;+62.45578
209.8808769;+62.4549778; 108;-131.1;-225.0;E   ;4;19.67;20.58; 1.219; 0.870; 0.75;M;209.88088;+62.45498
210.0038956;+62.4557986; 109;  73.7;-222.1;S0  ;3;20.46;21.32; 0.978; 0.672; 0.44;M;210.00390;+62.45580
209.9948256;+62.4559122; 110;  58.6;-221.7;S0  ;3;18.98;19.89; 1.194; 0.849; 0.71;M;209.99483;+62.45591
210.0004169;+62.4596608; 126;  67.9;-208.2;S0  ;4;19.10;20.01; 1.201; 0.855; 0.60;M;210.00042;+62.45966
210.0363472;+62.4614511; 129; 127.7;-201.7;S0  ;3;19.06;19.96; 1.169; 0.829; 0.42;M;210.03635;+62.46145
210.0121356;+62.4616847; 132;  87.4;-200.9;Irr ;1;21.12;21.97; 0.940; 0.641; 2.04;M;210.01214;+62.46168
209.9469478;+62.4620828; 135; -21.1;-199.5;S0  ;4;19.78;20.68; 1.166; 0.826; 0.36;M;209.94695;+62.46208
210.0112961;+62.4627961; 137;  86.0;-196.9;S0  ;1;20.44;21.33; 1.130; 0.797; 2.17;M;210.01130;+62.46280
209.9290411;+62.4643578; 142; -50.9;-191.3;S0  ;4;19.34;20.26; 1.202; 0.856; 1.25;M;209.92904;+62.46436
209.9944756;+62.4648289; 143;  58.0;-189.6;E   ;2;19.94;20.85; 1.214; 0.866; 0.54;M;209.99448;+62.46483
